Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
23,Entry long,2000-03-10 16:00,S1 Trend,2047.25,4,8189,-1900,-0.46,300,0.07,-1900,-0.46,-3650,-3.65
24,Exit long,2000-03-10 18:30,S2 FairVal,2042,3,6108.75,862.5,0.28,862.5,0.28,-225,-0.07,-2787.5,-2.79
24,Entry long,2000-03-10 17:30,S2 VWAP,2036.25,3,6108.75,862.5,0.28,862.5,0.28,-225,-0.07,-2787.5,-2.79
25,Exit long,2000-03-13 20:00,S1 Trail,2015,2,4050,-1000,-0.49,1075,0.53,-1000,-0.49,-3787.5,-3.79
25,Entry long,2000-03-13 16:00,S1 Trend,2025,2,4050,-1000,-0.49,1075,0.53,-1000,-0.49,-3787.5,-3.79
26,Exit long,2000-03-15 19:30,S1 Climax,2029.25,1,2018.25,550,0.55,562.5,0.56,-137.5,-0.14,-3237.5,-3.24
26,Entry long,2000-03-15 18:30,S1 Trend,2018.25,1,2018.25,550,0.55,562.5,0.56,-137.5,-0.14,-3237.5,-3.24
27,Exit long,2000-03-15 21:00,EOD,2026.75,1,2018.25,425,0.42,862.5,0.85,-137.5,-0.14,-2812.5,-2.81
27,Entry long,2000-03-15 18:30,S1 Trend,2018.25,1,2018.25,425,0.42,862.5,0.85,-137.5,-0.14,-2812.5,-2.81
28,Exit long,2000-03-16 16:30,S1 Climax,2052.5,1,2044.25,412.5,0.40,412.5,0.40,-12.5,-0.01,-2400,-2.40
28,Entry long,2000-03-16 15:30,S1 Trend,2044.25,1,2044.25,412.5,0.40,412.5,0.40,-12.5,-0.01,-2400,-2.40
29,Exit long,2000-03-16 17:00,S1 Climax,2067.5,1,2044.25,1162.5,1.14,1400,1.37,-12.5,-0.01,-1237.5,-1.24
29,Entry long,2000-03-16 15:30,S1 Trend,2044.25,1,2044.25,1162.5,1.14,1400,1.37,-12.5,-0.01,-1237.5,-1.24
30,Exit long,2000-03-16 17:30,S1 Climax,2072.75,1,2044.25,1425,1.39,1487.5,1.46,-12.5,-0.01,187.5,0.19
30,Entry long,2000-03-16 15:30,S1 Trend,2044.25,1,2044.25,1425,1.39,1487.5,1.46,-12.5,-0.01,187.5,0.19
31,Exit long,2000-03-16 18:30,S1 Climax,2068.5,1,2072.75,-212.5,-0.21,137.5,0.13,-312.5,-0.30,-25,-0.02
31,Entry long,2000-03-16 18:00,S1 Trend,2072.75,1,2072.75,-212.5,-0.21,137.5,0.13,-312.5,-0.30,-25,-0.02
32,Exit long,2000-03-16 19:00,S1 Climax,2072.25,1,2072.75,-25,-0.02,150,0.14,-312.5,-0.30,-50,-0.05
32,Entry long,2000-03-16 18:00,S1 Trend,2072.75,1,2072.75,-25,-0.02,150,0.14,-312.5,-0.30,-50,-0.05
33,Exit long,2000-03-17 17:00,S1 Trail,2100.25,3,6315.75,-750,-0.24,1575,0.50,-750,-0.24,-800,-0.80
33,Entry long,2000-03-17 15:30,S1 Trend,2105.25,3,6315.75,-750,-0.24,1575,0.50,-750,-0.24,-800,-0.80
34,Exit long,2000-03-21 21:00,EOD,2132,3,6310.5,4275,1.35,4312.5,1.37,-600,-0.19,3475,3.48
34,Entry long,2000-03-21 16:00,S1 Trend,2103.5,3,6310.5,4275,1.35,4312.5,1.37,-600,-0.19,3475,3.48
35,Exit long,2000-03-22 16:30,S1 Trail,2126.75,5,10668.75,-1750,-0.33,687.5,0.13,-1750,-0.33,1725,1.73
35,Entry long,2000-03-22 15:30,S1 Trend,2133.75,5,10668.75,-1750,-0.33,687.5,0.13,-1750,-0.33,1725,1.73
36,Exit long,2000-03-23 19:00,S1 Climax,2165.5,1,2140.5,1250,1.17,1300,1.21,-187.5,-0.18,2975,2.97
36,Entry long,2000-03-23 16:00,S1 Trend,2140.5,1,2140.5,1250,1.17,1300,1.21,-187.5,-0.18,2975,2.97
37,Exit long,2000-03-23 19:30,S1 Climax,2170.5,1,2140.5,1500,1.40,1525,1.42,-187.5,-0.18,4475,4.47
37,Entry long,2000-03-23 16:00,S1 Trend,2140.5,1,2140.5,1500,1.40,1525,1.42,-187.5,-0.18,4475,4.47
38,Exit long,2000-03-23 21:00,EOD,2164.5,2,4281,2400,1.12,3050,1.42,-375,-0.18,6875,6.88
38,Entry long,2000-03-23 16:00,S1 Trend,2140.5,2,4281,2400,1.12,3050,1.42,-375,-0.18,6875,6.88
39,Exit long,2000-03-24 16:00,S1 Climax,2187.75,1,2178.5,462.5,0.42,687.5,0.63,-87.5,-0.08,7337.5,7.34
39,Entry long,2000-03-24 15:30,S1 Trend,2178.5,1,2178.5,462.5,0.42,687.5,0.63,-87.5,-0.08,7337.5,7.34
40,Exit long,2000-03-24 17:00,S1 Trail,2179.25,3,6535.5,112.5,0.03,2062.5,0.63,-262.5,-0.08,7450,7.45
40,Entry long,2000-03-24 15:30,S1 Trend,2178.5,3,6535.5,112.5,0.03,2062.5,0.63,-262.5,-0.08,7450,7.45
41,Exit long,2000-03-27 18:00,S2 FairVal,2164.5,4,8653,250,0.06,350,0.08,-750,-0.17,7700,7.70
41,Entry long,2000-03-27 17:30,S2 VWAP,2163.25,4,8653,250,0.06,350,0.08,-750,-0.17,7700,7.70
42,Exit long,2000-03-31 22:00,EOD,2136.25,2,4281,-425,-0.20,1625,0.76,-425,-0.20,7275,7.28
42,Entry long,2000-03-31 20:00,S1 Trend,2140.5,2,4281,-425,-0.20,1625,0.76,-425,-0.20,7275,7.28
43,Exit long,2000-04-04 16:00,S1 Trail,2141.25,4,8613,-2400,-0.56,250,0.06,-2700,-0.63,4875,4.88
43,Entry long,2000-04-04 15:30,S1 Trend,2153.25,4,8613,-2400,-0.56,250,0.06,-2700,-0.63,4875,4.88
44,Exit long,2000-04-06 16:00,S1 Climax,2143.5,1,2141,125,0.12,387.5,0.36,-150,-0.14,5000,5.00
44,Entry long,2000-04-06 15:30,S1 Trend,2141,1,2141,125,0.12,387.5,0.36,-150,-0.14,5000,5.00
45,Exit long,2000-04-06 17:00,S1 Trail,2135,2,4282,-600,-0.28,775,0.36,-600,-0.28,4400,4.40
45,Entry long,2000-04-06 15:30,S1 Trend,2141,2,4282,-600,-0.28,775,0.36,-600,-0.28,4400,4.40
46,Exit long,2000-04-07 19:00,S1 Trail,2139.25,3,6447,-1462.5,-0.45,600,0.19,-1462.5,-0.45,2937.5,2.94
46,Entry long,2000-04-07 16:30,S1 Trend,2149,3,6447,-1462.5,-0.45,600,0.19,-1462.5,-0.45,2937.5,2.94
47,Exit long,2000-04-10 17:30,S1 Trail,2152.25,5,10772.5,-562.5,-0.10,1875,0.35,-562.5,-0.10,2375,2.38
47,Entry long,2000-04-10 16:00,S1 Trend,2154.5,5,10772.5,-562.5,-0.10,1875,0.35,-562.5,-0.10,2375,2.38
48,Exit long,2000-04-11 20:00,S1 Trail,2128.75,2,4282.5,-1250,-0.58,600,0.28,-1250,-0.58,1125,1.13
48,Entry long,2000-04-11 17:00,S1 Trend,2141.25,2,4282.5,-1250,-0.58,600,0.28,-1250,-0.58,1125,1.13
49,Exit short,2000-04-14 19:30,S3 Scalp,1998.75,1,2034,1762.5,1.73,1762.5,1.73,-75,-0.07,2887.5,2.89
49,Entry short,2000-04-14 16:30,S3 Hedge,2034,1,2034,1762.5,1.73,1762.5,1.73,-75,-0.07,2887.5,2.89
50,Exit long,2000-04-18 17:30,S1 Climax,2060.5,1,2039.5,1050,1.03,1200,1.18,-237.5,-0.23,3937.5,3.94
50,Entry long,2000-04-18 15:30,S1 Trend,2039.5,1,2039.5,1050,1.03,1200,1.18,-237.5,-0.23,3937.5,3.94
51,Exit long,2000-04-18 21:00,EOD,2069,1,2039.5,1475,1.45,1512.5,1.48,-237.5,-0.23,5412.5,5.41
51,Entry long,2000-04-18 15:30,S1 Trend,2039.5,1,2039.5,1475,1.45,1512.5,1.48,-237.5,-0.23,5412.5,5.41
52,Exit long,2000-04-19 18:30,S1 Trail,2062,3,6218.25,-1612.5,-0.52,787.5,0.25,-1612.5,-0.52,3800,3.80
52,Entry long,2000-04-19 16:00,S1 Trend,2072.75,3,6218.25,-1612.5,-0.52,787.5,0.25,-1612.5,-0.52,3800,3.80
53,Exit long,2000-04-19 21:00,EOD,2058,2,4130.5,-725,-0.35,125,0.06,-1200,-0.58,3075,3.08
53,Entry long,2000-04-19 19:30,S2 VWAP,2065.25,2,4130.5,-725,-0.35,125,0.06,-1200,-0.58,3075,3.08
54,Exit long,2000-04-25 16:30,S1 Climax,2083.5,1,2082,75,0.07,250,0.24,0,0.00,3150,3.15
54,Entry long,2000-04-25 16:00,S1 Trend,2082,1,2082,75,0.07,250,0.24,0,0.00,3150,3.15
55,Exit long,2000-04-25 17:00,S1 Climax,2086,1,2082,200,0.19,250,0.24,-25,-0.02,3350,3.35
55,Entry long,2000-04-25 16:00,S1 Trend,2082,1,2082,200,0.19,250,0.24,-25,-0.02,3350,3.35
56,Exit long,2000-04-25 17:30,S1 Climax,2085.75,1,2082,187.5,0.18,387.5,0.37,-25,-0.02,3537.5,3.54
56,Entry long,2000-04-25 16:00,S1 Trend,2082,1,2082,187.5,0.18,387.5,0.37,-25,-0.02,3537.5,3.54
57,Exit long,2000-04-25 19:30,S1 Climax,2099,1,2091.25,387.5,0.37,400,0.38,-12.5,-0.01,3925,3.93
57,Entry long,2000-04-25 19:00,S1 Trend,2091.25,1,2091.25,387.5,0.37,400,0.38,-12.5,-0.01,3925,3.93
58,Exit long,2000-04-25 20:00,S1 Climax,2096.75,1,2091.25,275,0.26,412.5,0.39,-12.5,-0.01,4200,4.20
58,Entry long,2000-04-25 19:00,S1 Trend,2091.25,1,2091.25,275,0.26,412.5,0.39,-12.5,-0.01,4200,4.20
59,Exit long,2000-04-25 20:30,S1 Climax,2098,1,2091.25,337.5,0.32,562.5,0.54,-12.5,-0.01,4537.5,4.54
59,Entry long,2000-04-25 19:00,S1 Trend,2091.25,1,2091.25,337.5,0.32,562.5,0.54,-12.5,-0.01,4537.5,4.54
60,Exit long,2000-04-26 16:30,S1 Trail,2100.25,4,8442,-2050,-0.49,100,0.02,-2050,-0.49,2487.5,2.49
60,Entry long,2000-04-26 16:00,S1 Trend,2110.5,4,8442,-2050,-0.49,100,0.02,-2050,-0.49,2487.5,2.49
61,Exit long,2000-04-26 20:30,S2 FairVal,2088.75,3,6294,-1387.5,-0.44,750,0.24,-1387.5,-0.44,1100,1.10
61,Entry long,2000-04-26 18:00,S2 VWAP,2098,3,6294,-1387.5,-0.44,750,0.24,-1387.5,-0.44,1100,1.10
62,Exit long,2000-04-27 21:00,EOD,2092,2,4188,-200,-0.10,475,0.23,-925,-0.44,900,0.90
62,Entry long,2000-04-27 19:30,S1 Trend,2094,2,4188,-200,-0.10,475,0.23,-925,-0.44,900,0.90
63,Exit long,2000-05-01 16:30,S1 Climax,2098.5,1,2087.5,550,0.53,625,0.60,-75,-0.07,1450,1.45
63,Entry long,2000-05-01 15:30,S1 Trend,2087.5,1,2087.5,550,0.53,625,0.60,-75,-0.07,1450,1.45
64,Exit long,2000-05-01 17:00,S1 Climax,2101.25,1,2087.5,687.5,0.66,737.5,0.71,-75,-0.07,2137.5,2.14
64,Entry long,2000-05-01 15:30,S1 Trend,2087.5,1,2087.5,687.5,0.66,737.5,0.71,-75,-0.07,2137.5,2.14
65,Exit long,2000-05-01 18:00,S1 Trail,2091.5,3,6262.5,600,0.19,2287.5,0.73,-225,-0.07,2737.5,2.74
65,Entry long,2000-05-01 15:30,S1 Trend,2087.5,3,6262.5,600,0.19,2287.5,0.73,-225,-0.07,2737.5,2.74
66,Exit long,2000-05-01 20:30,S1 Trail,2095.5,3,6310.5,-1200,-0.38,1087.5,0.34,-1200,-0.38,1537.5,1.54
66,Entry long,2000-05-01 19:30,S1 Trend,2103.5,3,6310.5,-1200,-0.38,1087.5,0.34,-1200,-0.38,1537.5,1.54
67,Exit short,2000-05-03 18:00,S3 Scalp,2036.5,4,8203,2850,0.69,2850,0.69,-50,-0.01,4387.5,4.39
67,Entry short,2000-05-03 16:00,S3 Hedge,2050.75,4,8203,2850,0.69,2850,0.69,-50,-0.01,4387.5,4.39
68,Exit long,2000-05-05 21:00,EOD,2058.25,2,4108.5,400,0.19,975,0.47,-400,-0.19,4787.5,4.79
68,Entry long,2000-05-05 15:30,S1 Trend,2054.25,2,4108.5,400,0.19,975,0.47,-400,-0.19,4787.5,4.79
69,Exit short,2000-05-10 19:00,S3 Scalp,2011.5,3,6011.25,-1162.5,-0.39,412.5,0.14,-1162.5,-0.39,3625,3.62
69,Entry short,2000-05-10 18:30,S3 Hedge,2003.75,3,6011.25,-1162.5,-0.39,412.5,0.14,-1162.5,-0.39,3625,3.62
70,Exit long,2000-05-11 21:00,EOD,2033.5,3,6091.5,450,0.15,975,0.32,-1050,-0.34,4075,4.08
70,Entry long,2000-05-11 16:00,S1 Trend,2030.5,3,6091.5,450,0.15,975,0.32,-1050,-0.34,4075,4.08
71,Exit long,2000-05-12 16:00,S1 Climax,2051.75,1,2048.75,150,0.15,262.5,0.26,-37.5,-0.04,4225,4.23
71,Entry long,2000-05-12 15:30,S1 Trend,2048.75,1,2048.75,150,0.15,262.5,0.26,-37.5,-0.04,4225,4.23
72,Exit long,2000-05-12 16:30,S1 Climax,2052.25,1,2048.75,175,0.17,262.5,0.26,-37.5,-0.04,4400,4.40
72,Entry long,2000-05-12 15:30,S1 Trend,2048.75,1,2048.75,175,0.17,262.5,0.26,-37.5,-0.04,4400,4.40
73,Exit long,2000-05-12 17:00,S1 Climax,2055.5,1,2048.75,337.5,0.33,400,0.39,-37.5,-0.04,4737.5,4.74
73,Entry long,2000-05-12 15:30,S1 Trend,2048.75,1,2048.75,337.5,0.33,400,0.39,-37.5,-0.04,4737.5,4.74
74,Exit long,2000-05-12 19:30,S1 Trail,2045,1,2048.75,-187.5,-0.18,400,0.39,-187.5,-0.18,4550,4.55
74,Entry long,2000-05-12 15:30,S1 Trend,2048.75,1,2048.75,-187.5,-0.18,400,0.39,-187.5,-0.18,4550,4.55
75,Exit long,2000-05-15 21:00,EOD,2075.75,3,6176.25,2550,0.83,2775,0.90,-262.5,-0.09,7100,7.10
75,Entry long,2000-05-15 17:00,S1 Trend,2058.75,3,6176.25,2550,0.83,2775,0.90,-262.5,-0.09,7100,7.10
76,Exit long,2000-05-16 17:30,S1 Climax,2092.25,1,2092.75,-25,-0.02,25,0.02,-87.5,-0.08,7075,7.07
76,Entry long,2000-05-16 17:00,S1 Trend,2092.75,1,2092.75,-25,-0.02,25,0.02,-87.5,-0.08,7075,7.07
77,Exit long,2000-05-16 18:30,S1 Climax,2093,1,2092.75,12.5,0.01,87.5,0.08,-125,-0.12,7087.5,7.09
77,Entry long,2000-05-16 17:00,S1 Trend,2092.75,1,2092.75,12.5,0.01,87.5,0.08,-125,-0.12,7087.5,7.09
78,Exit long,2000-05-16 19:00,S1 Trail,2084.75,2,4185.5,-800,-0.38,375,0.18,-800,-0.38,6287.5,6.29
78,Entry long,2000-05-16 17:00,S1 Trend,2092.75,2,4185.5,-800,-0.38,375,0.18,-800,-0.38,6287.5,6.29
79,Exit long,2000-05-18 16:30,S1 Trail,2070,4,8321,-2050,-0.49,200,0.05,-2050,-0.49,4237.5,4.24
79,Entry long,2000-05-18 15:30,S1 Trend,2080.25,4,8321,-2050,-0.49,200,0.05,-2050,-0.49,4237.5,4.24
80,Exit long,2000-05-30 16:00,S1 Climax,2023.75,1,2018.75,250,0.25,287.5,0.28,-50,-0.05,4487.5,4.49
80,Entry long,2000-05-30 15:30,S1 Trend,2018.75,1,2018.75,250,0.25,287.5,0.28,-50,-0.05,4487.5,4.49
81,Exit long,2000-05-30 18:30,S1 Climax,2027.75,1,2018.75,450,0.45,475,0.47,-50,-0.05,4937.5,4.94
81,Entry long,2000-05-30 15:30,S1 Trend,2018.75,1,2018.75,450,0.45,475,0.47,-50,-0.05,4937.5,4.94
82,Exit long,2000-05-30 20:00,S1 Climax,2033.75,1,2018.75,750,0.74,900,0.89,-50,-0.05,5687.5,5.69
82,Entry long,2000-05-30 15:30,S1 Trend,2018.75,1,2018.75,750,0.74,900,0.89,-50,-0.05,5687.5,5.69
83,Exit long,2000-05-30 20:30,S1 Climax,2039.75,1,2018.75,1050,1.04,1125,1.11,-50,-0.05,6737.5,6.74
83,Entry long,2000-05-30 15:30,S1 Trend,2018.75,1,2018.75,1050,1.04,1125,1.11,-50,-0.05,6737.5,6.74
84,Exit long,2000-05-30 21:00,EOD,2045,1,2018.75,1312.5,1.30,1325,1.31,-50,-0.05,8050,8.05
84,Entry long,2000-05-30 15:30,S1 Trend,2018.75,1,2018.75,1312.5,1.30,1325,1.31,-50,-0.05,8050,8.05
85,Exit long,2000-05-31 16:00,S1 Trail,2044.5,4,8208,-1500,-0.37,550,0.13,-1500,-0.37,6550,6.55
85,Entry long,2000-05-31 15:30,S1 Trend,2052,4,8208,-1500,-0.37,550,0.13,-1500,-0.37,6550,6.55
86,Exit long,2000-05-31 20:30,S1 Trail,2041.5,3,6160.5,-1800,-0.58,225,0.07,-1800,-0.58,4750,4.75
86,Entry long,2000-05-31 19:30,S1 Trend,2053.5,3,6160.5,-1800,-0.58,225,0.07,-1800,-0.58,4750,4.75
87,Exit long,2000-06-01 16:00,S1 Climax,2067,1,2063.75,162.5,0.16,300,0.29,-37.5,-0.04,4912.5,4.91
87,Entry long,2000-06-01 15:30,S1 Trend,2063.75,1,2063.75,162.5,0.16,300,0.29,-37.5,-0.04,4912.5,4.91
88,Exit long,2000-06-01 16:30,S1 Climax,2065.75,1,2063.75,100,0.10,300,0.29,-37.5,-0.04,5012.5,5.01
88,Entry long,2000-06-01 15:30,S1 Trend,2063.75,1,2063.75,100,0.10,300,0.29,-37.5,-0.04,5012.5,5.01
89,Exit long,2000-06-01 17:00,S1 Climax,2068.5,1,2063.75,237.5,0.23,300,0.29,-37.5,-0.04,5250,5.25
89,Entry long,2000-06-01 15:30,S1 Trend,2063.75,1,2063.75,237.5,0.23,300,0.29,-37.5,-0.04,5250,5.25
90,Exit long,2000-06-01 19:00,S1 Trail,2059.5,1,2063.75,-212.5,-0.21,400,0.39,-212.5,-0.21,5037.5,5.04
90,Entry long,2000-06-01 15:30,S1 Trend,2063.75,1,2063.75,-212.5,-0.21,400,0.39,-212.5,-0.21,5037.5,5.04
91,Exit long,2000-06-05 16:30,S1 Trail,2086.75,5,10477.5,-2187.5,-0.42,250,0.05,-2187.5,-0.42,2850,2.85
91,Entry long,2000-06-05 16:00,S1 Trend,2095.5,5,10477.5,-2187.5,-0.42,250,0.05,-2187.5,-0.42,2850,2.85
92,Exit long,2000-06-05 18:00,S2 FairVal,2093.25,4,8377,-200,-0.05,100,0.02,-550,-0.13,2650,2.65
92,Entry long,2000-06-05 17:30,S2 VWAP,2094.25,4,8377,-200,-0.05,100,0.02,-550,-0.13,2650,2.65
93,Exit long,2000-06-06 19:30,S1 Trail,2083.25,4,8366,-1650,-0.39,300,0.07,-1650,-0.39,1000,1.00
93,Entry long,2000-06-06 18:30,S1 Trend,2091.5,4,8366,-1650,-0.39,300,0.07,-1650,-0.39,1000,1.00
94,Exit long,2000-06-07 21:00,EOD,2091.5,4,8339,1350,0.32,2150,0.52,-700,-0.17,2350,2.35
94,Entry long,2000-06-07 17:00,S1 Trend,2084.75,4,8339,1350,0.32,2150,0.52,-700,-0.17,2350,2.35
95,Exit long,2000-06-08 16:00,S2 FairVal,2088.5,5,10427.5,750,0.14,750,0.14,-1000,-0.19,3100,3.10
95,Entry long,2000-06-08 15:30,S2 VWAP,2085.5,5,10427.5,750,0.14,750,0.14,-1000,-0.19,3100,3.10
96,Exit long,2000-06-13 21:00,EOD,2088.5,3,6245.25,1012.5,0.32,1500,0.48,-225,-0.07,4112.5,4.11
96,Entry long,2000-06-13 19:30,S1 Trend,2081.75,3,6245.25,1012.5,0.32,1500,0.48,-225,-0.07,4112.5,4.11
97,Exit long,2000-06-14 17:00,S1 Trail,2090.75,4,8389,-1300,-0.31,1200,0.29,-1300,-0.31,2812.5,2.81
97,Entry long,2000-06-14 15:30,S1 Trend,2097.25,4,8389,-1300,-0.31,1200,0.29,-1300,-0.31,2812.5,2.81
98,Exit long,2000-06-15 21:00,EOD,2095.25,3,6296.25,-525,-0.17,487.5,0.15,-1312.5,-0.42,2287.5,2.29
98,Entry long,2000-06-15 19:00,S1 Trend,2098.75,3,6296.25,-525,-0.17,487.5,0.15,-1312.5,-0.42,2287.5,2.29
99,Exit long,2000-06-19 20:30,S1 Climax,2107,1,2090,850,0.81,1000,0.96,0,0.00,3137.5,3.14
99,Entry long,2000-06-19 18:30,S1 Trend,2090,1,2090,850,0.81,1000,0.96,0,0.00,3137.5,3.14
100,Exit long,2000-06-19 21:00,EOD,2103.25,3,6270,1987.5,0.63,3000,0.96,0,0.00,5125,5.13
100,Entry long,2000-06-19 18:30,S1 Trend,2090,3,6270,1987.5,0.63,3000,0.96,0,0.00,5125,5.13
101,Exit long,2000-06-28 20:30,S1 Trail,2072.25,5,10401.25,-2000,-0.38,500,0.10,-2000,-0.38,3125,3.13
101,Entry long,2000-06-28 19:30,S1 Trend,2080.25,5,10401.25,-2000,-0.38,500,0.10,-2000,-0.38,3125,3.13
102,Exit long,2000-07-05 13:00,S1 Trail,2085.75,5,10387.5,2062.5,0.40,2875,0.55,-187.5,-0.04,5187.5,5.19
