Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
89,Entry long,2016-08-19 13:45,Long,10.76,17367.8253,186877.8002,-1042.07,-0.56,173.68,0.09,-2257.82,-1.21,41459.51,41.46
90,Exit short,2016-08-20 02:00,Short Exit,10.73,14013.3158,149942.4791,-420.4,-0.28,280.27,0.19,-840.8,-0.56,41039.11,41.04
90,Entry short,2016-08-19 17:00,Short,10.7,14013.3158,149942.4791,-420.4,-0.28,280.27,0.19,-840.8,-0.56,41039.11,41.04
91,Exit long,2016-08-21 03:45,Long Exit,11.19,12470.1801,135176.7523,4364.56,3.23,5611.58,4.15,0,0.00,45403.68,45.40
91,Entry long,2016-08-20 02:30,Long,10.84,12470.1801,135176.7523,4364.56,3.23,5611.58,4.15,0,0.00,45403.68,45.40
92,Exit short,2016-08-21 14:00,Short Exit,11.06,14984.8535,166931.268,1198.79,0.72,2247.73,1.35,0,0.00,46602.47,46.60
92,Entry short,2016-08-21 05:30,Short,11.14,14984.8535,166931.268,1198.79,0.72,2247.73,1.35,0,0.00,46602.47,46.60
93,Exit long,2016-08-22 08:45,Long Exit,11.18,19395.1795,215286.4925,1551.61,0.72,2909.28,1.35,-387.9,-0.18,48154.08,48.15
93,Entry long,2016-08-21 21:00,Long,11.1,19395.1795,215286.4925,1551.61,0.72,2909.28,1.35,-387.9,-0.18,48154.08,48.15
94,Exit long,2016-08-22 21:00,Stop Hit,11.2,16515.5116,185964.6606,-990.93,-0.53,825.78,0.44,-1156.09,-0.62,47163.15,47.16
94,Entry long,2016-08-22 16:45,Long,11.26,16515.5116,185964.6606,-990.93,-0.53,825.78,0.44,-1156.09,-0.62,47163.15,47.16
95,Exit short,2016-08-23 04:15,Stop Hit,11.19,11530.4521,128795.15,-230.61,-0.18,1614.26,1.25,-230.61,-0.18,46932.54,46.93
95,Entry short,2016-08-22 22:30,Short,11.17,11530.4521,128795.15,-230.61,-0.18,1614.26,1.25,-230.61,-0.18,46932.54,46.93
96,Exit short,2016-08-24 00:00,Short Exit,11,11014.7666,121272.5803,110.15,0.09,1431.92,1.18,-660.89,-0.54,47042.69,47.04
96,Entry short,2016-08-23 13:00,Short,11.01,11014.7666,121272.5803,110.15,0.09,1431.92,1.18,-660.89,-0.54,47042.69,47.04
97,Exit long,2016-08-24 08:00,Long Exit,11.01,11028.9592,122752.3159,-1323.48,-1.08,110.29,0.09,-1323.48,-1.08,45719.21,45.72
97,Entry long,2016-08-24 02:45,Long,11.13,11028.9592,122752.3159,-1323.48,-1.08,110.29,0.09,-1323.48,-1.08,45719.21,45.72
98,Exit short,2016-08-25 04:45,Long,11.06,15984.2011,175986.0541,-799.21,-0.45,639.37,0.36,-959.05,-0.54,44920,44.92
98,Entry short,2016-08-24 21:15,Short,11.01,15984.2011,175986.0541,-799.21,-0.45,639.37,0.36,-959.05,-0.54,44920,44.92
99,Exit long,2016-08-25 17:45,Long Exit,11.19,13469.7182,148975.0833,1751.06,1.18,2963.34,1.99,-134.7,-0.09,46671.06,46.67
99,Entry long,2016-08-25 04:45,Long,11.06,13469.7182,148975.0833,1751.06,1.18,2963.34,1.99,-134.7,-0.09,46671.06,46.67
100,Exit long,2016-08-26 06:30,Stop Hit,11.29,11566.1635,130813.3092,-231.32,-0.18,1156.62,0.88,-231.32,-0.18,46439.74,46.44
100,Entry long,2016-08-26 00:15,Long,11.31,11566.1635,130813.3092,-231.32,-0.18,1156.62,0.88,-231.32,-0.18,46439.74,46.44
101,Exit short,2016-08-26 19:15,Short Exit,11.28,14648.2371,164206.7379,-1025.38,-0.62,439.45,0.27,-1171.86,-0.71,45414.36,45.41
101,Entry short,2016-08-26 14:00,Short,11.21,14648.2371,164206.7379,-1025.38,-0.62,439.45,0.27,-1171.86,-0.71,45414.36,45.41
102,Exit short,2016-08-27 13:00,Short Exit,11.23,18849.1415,211298.8762,-376.98,-0.18,565.47,0.27,-565.47,-0.27,45037.38,45.04
102,Entry short,2016-08-27 05:15,Short,11.21,18849.1415,211298.8762,-376.98,-0.18,565.47,0.27,-565.47,-0.27,45037.38,45.04
103,Exit short,2016-08-27 19:00,Stop Hit,11.21,15948.4902,177825.6657,-956.91,-0.54,1116.39,0.63,-956.91,-0.54,44080.47,44.08
103,Entry short,2016-08-27 16:00,Short,11.15,15948.4902,177825.6657,-956.91,-0.54,1116.39,0.63,-956.91,-0.54,44080.47,44.08
104,Exit short,2016-08-28 09:15,Short Exit,11.1,21524.3123,238489.3803,-430.49,-0.18,1076.22,0.45,-645.73,-0.27,43649.98,43.65
104,Entry short,2016-08-28 06:15,Short,11.08,21524.3123,238489.3803,-430.49,-0.18,1076.22,0.45,-645.73,-0.27,43649.98,43.65
105,Exit short,2016-08-29 06:00,Stop Hit,11.06,17653.2239,194715.0596,-529.6,-0.27,4060.24,2.09,-529.6,-0.27,43120.39,43.12
105,Entry short,2016-08-28 16:30,Short,11.03,17653.2239,194715.0596,-529.6,-0.27,4060.24,2.09,-529.6,-0.27,43120.39,43.12
106,Exit long,2016-08-29 12:30,Long Exit,11.02,8371.7679,93177.77673,-920.89,-0.99,83.72,0.09,-920.89,-0.99,42199.5,42.20
106,Entry long,2016-08-29 06:15,Long,11.13,8371.7679,93177.77673,-920.89,-0.99,83.72,0.09,-920.89,-0.99,42199.5,42.20
107,Exit long,2016-08-30 14:30,Long Exit,11.04,11157.0982,123174.3641,0,0.00,1115.71,0.91,-1227.28,-1.00,42199.5,42.20
107,Entry long,2016-08-30 02:45,Long,11.04,11157.0982,123174.3641,0,0.00,1115.71,0.91,-1227.28,-1.00,42199.5,42.20
108,Exit long,2016-08-31 02:45,Long Exit,11.17,12705.6721,142176.4708,-254.11,-0.18,1016.45,0.71,-508.23,-0.36,41945.38,41.95
108,Entry long,2016-08-30 17:15,Long,11.19,12705.6721,142176.4708,-254.11,-0.18,1016.45,0.71,-508.23,-0.36,41945.38,41.95
109,Exit long,2016-09-01 11:15,Stop Hit,12.27,16205.5657,182474.6698,16367.62,8.97,20905.18,11.46,0,0.00,58313,58.31
109,Entry long,2016-08-31 13:45,Long,11.26,16205.5657,182474.6698,16367.62,8.97,20905.18,11.46,0,0.00,58313,58.31
110,Exit short,2016-09-02 10:45,Stop Hit,12.04,7317.9605,87083.72995,-1024.51,-1.18,146.36,0.17,-1244.05,-1.43,57288.49,57.29
110,Entry short,2016-09-02 02:45,Short,11.9,7317.9605,87083.72995,-1024.51,-1.18,146.36,0.17,-1244.05,-1.43,57288.49,57.29
111,Exit long,2016-09-02 22:00,Stop Hit,12.11,10885.5214,132476.7954,-653.13,-0.49,1197.41,0.90,-761.99,-0.58,56635.36,56.64
111,Entry long,2016-09-02 20:00,Long,12.17,10885.5214,132476.7954,-653.13,-0.49,1197.41,0.90,-761.99,-0.58,56635.36,56.64
112,Exit long,2016-09-03 08:30,Stop Hit,12.1,9425.5882,115934.7349,-1885.12,-1.63,659.79,0.57,-1979.37,-1.71,54750.24,54.75
112,Entry long,2016-09-03 03:45,Long,12.3,9425.5882,115934.7349,-1885.12,-1.63,659.79,0.57,-1979.37,-1.71,54750.24,54.75
113,Exit short,2016-09-03 20:30,Short Exit,11.89,6809.7529,81717.0348,749.07,0.92,2655.8,3.25,0,0.00,55499.31,55.50
113,Entry short,2016-09-03 08:45,Short,12,6809.7529,81717.0348,749.07,0.92,2655.8,3.25,0,0.00,55499.31,55.50
114,Exit short,2016-09-03 20:45,Short Exit,11.99,1409.0299,16908.3588,14.09,0.08,549.52,3.25,-28.18,-0.17,55513.4,55.51
114,Entry short,2016-09-03 08:45,Short,12,1409.0299,16908.3588,14.09,0.08,549.52,3.25,-28.18,-0.17,55513.4,55.51
115,Exit short,2016-09-03 20:45,Short Exit,11.99,6809.7529,80967.96198,-680.98,-0.84,68.1,0.08,-885.27,-1.09,54832.43,54.83
115,Entry short,2016-09-03 20:30,Short,11.89,6809.7529,80967.96198,-680.98,-0.84,68.1,0.08,-885.27,-1.09,54832.43,54.83
116,Exit short,2016-09-04 13:15,Short Exit,11.68,4053.8712,47551.90918,202.69,0.43,770.24,1.62,-243.23,-0.51,55035.12,55.04
116,Entry short,2016-09-04 01:45,Short,11.73,4053.8712,47551.90918,202.69,0.43,770.24,1.62,-243.23,-0.51,55035.12,55.04
117,Exit long,2016-09-04 22:45,Long Exit,11.66,7218.9207,85038.88585,-866.27,-1.02,505.32,0.59,-866.27,-1.02,54168.85,54.17
117,Entry long,2016-09-04 16:30,Long,11.78,7218.9207,85038.88585,-866.27,-1.02,505.32,0.59,-866.27,-1.02,54168.85,54.17
118,Exit short,2016-09-05 05:00,Short Exit,11.72,10188.1673,118692.149,-713.17,-0.60,101.88,0.09,-815.05,-0.69,53455.68,53.46
118,Entry short,2016-09-05 03:30,Short,11.65,10188.1673,118692.149,-713.17,-0.60,101.88,0.09,-815.05,-0.69,53455.68,53.46
119,Exit long,2016-09-05 19:00,Long Exit,11.7,9779.6486,115204.2605,-782.37,-0.68,293.39,0.25,-880.17,-0.76,52673.31,52.67
119,Entry long,2016-09-05 14:00,Long,11.78,9779.6486,115204.2605,-782.37,-0.68,293.39,0.25,-880.17,-0.76,52673.31,52.67
120,Exit short,2016-09-06 00:45,Stop Hit,11.74,11575.5515,134623.6639,-1273.31,-0.95,231.51,0.17,-1504.82,-1.12,51400,51.40
120,Entry short,2016-09-05 21:00,Short,11.63,11575.5515,134623.6639,-1273.31,-0.95,231.51,0.17,-1504.82,-1.12,51400,51.40
121,Exit short,2016-09-06 15:15,Stop Hit,11.62,13371.6721,155245.1131,-133.72,-0.09,1604.6,1.03,-133.72,-0.09,51266.28,51.27
121,Entry short,2016-09-06 09:00,Short,11.61,13371.6721,155245.1131,-133.72,-0.09,1604.6,1.03,-133.72,-0.09,51266.28,51.27
122,Exit long,2016-09-07 06:30,Long Exit,11.66,11569.0729,135011.0807,-115.69,-0.09,1041.22,0.77,-809.84,-0.60,51150.59,51.15
122,Entry long,2016-09-06 18:45,Long,11.67,11569.0729,135011.0807,-115.69,-0.09,1041.22,0.77,-809.84,-0.60,51150.59,51.15
123,Exit short,2016-09-08 02:45,Short Exit,11.6,10498.8609,121366.832,-419.95,-0.35,209.98,0.17,-419.95,-0.35,50730.63,50.73
123,Entry short,2016-09-07 20:00,Short,11.56,10498.8609,121366.832,-419.95,-0.35,209.98,0.17,-419.95,-0.35,50730.63,50.73
124,Exit long,2016-09-08 10:45,Long Exit,11.56,11475.3225,135638.312,-2983.58,-2.20,229.51,0.17,-3098.34,-2.28,47747.05,47.75
124,Entry long,2016-09-08 09:45,Long,11.82,11475.3225,135638.312,-2983.58,-2.20,229.51,0.17,-3098.34,-2.28,47747.05,47.75
125,Exit short,2016-09-08 19:45,Short Exit,11.45,7279.6387,83643.04866,291.19,0.35,1601.52,1.91,-145.59,-0.17,48038.23,48.04
125,Entry short,2016-09-08 11:00,Short,11.49,7279.6387,83643.04866,291.19,0.35,1601.52,1.91,-145.59,-0.17,48038.23,48.04
126,Exit long,2016-09-10 10:00,Long Exit,11.65,11511.8628,131695.7104,2417.49,1.84,3453.56,2.62,-115.12,-0.09,50455.73,50.46
126,Entry long,2016-09-09 05:45,Long,11.44,11511.8628,131695.7104,2417.49,1.84,3453.56,2.62,-115.12,-0.09,50455.73,50.46
127,Exit short,2016-09-10 21:30,Short Exit,11.6,13660.0749,158593.4696,136.6,0.09,956.21,0.60,-136.6,-0.09,50592.33,50.59
127,Entry short,2016-09-10 14:45,Short,11.61,13660.0749,158593.4696,136.6,0.09,956.21,0.60,-136.6,-0.09,50592.33,50.59
128,Exit long,2016-09-11 07:45,Long Exit,11.96,12316.5275,144349.7023,2955.97,2.05,5665.6,3.92,0,0.00,53548.29,53.55
128,Entry long,2016-09-10 22:15,Long,11.72,12316.5275,144349.7023,2955.97,2.05,5665.6,3.92,0,0.00,53548.29,53.55
129,Exit short,2016-09-12 08:00,Stop Hit,11.91,11361.1441,135538.4491,227.22,0.17,8748.08,6.45,-227.22,-0.17,53775.52,53.78
129,Entry short,2016-09-11 19:15,Short,11.93,11361.1441,135538.4491,227.22,0.17,8748.08,6.45,-227.22,-0.17,53775.52,53.78
130,Exit long,2016-09-13 12:15,Long Exit,12,11485.8669,137026.3921,804.01,0.59,1837.74,1.34,-344.58,-0.25,54579.53,54.58
130,Entry long,2016-09-13 00:15,Long,11.93,11485.8669,137026.3921,804.01,0.59,1837.74,1.34,-344.58,-0.25,54579.53,54.58
131,Exit short,2016-09-13 17:15,Short Exit,12.08,11154.2215,134296.8269,-446.17,-0.33,111.54,0.08,-446.17,-0.33,54133.36,54.13
131,Entry short,2016-09-13 16:30,Short,12.04,11154.2215,134296.8269,-446.17,-0.33,111.54,0.08,-446.17,-0.33,54133.36,54.13
