Trade #,Type,Date/Time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %,Cumulative P&L USD,Cumulative P&L %
263,Entry long,24/06/2021 18:00,Long,32.36,251.41,8135.6276,-276.55,-3.4,160.9,1.98,-387.17,-4.76,-585.71,-0.59
264,Exit short,27/06/2021 01:00,Short Exit,29.69,264.723,7941.69,82.06,1.03,884.17,11.13,-209.13,-2.63,-503.65,-0.5
264,Entry short,25/06/2021 13:30,Short,30,264.723,7941.69,82.06,1.03,884.17,11.13,-209.13,-2.63,-503.65,-0.5
265,Exit long,27/06/2021 20:30,Long Exit,29.76,306.135,9312.6267,-202.05,-2.17,238.79,2.56,-251.03,-2.7,-705.7,-0.71
265,Entry long,27/06/2021 02:30,Long,30.42,306.135,9312.6267,-202.05,-2.17,238.79,2.56,-251.03,-2.7,-705.7,-0.71
266,Exit long,29/06/2021 23:30,Long Exit,33.8,404.311,12606.41698,1059.29,8.4,1884.09,14.95,-88.95,-0.71,353.6,0.35
266,Entry long,27/06/2021 23:30,Long,31.18,404.311,12606.41698,1059.29,8.4,1884.09,14.95,-88.95,-0.71,353.6,0.35
267,Exit short,30/06/2021 21:00,Short Exit,34.32,345.923,11152.55752,-719.52,-6.45,235.23,2.11,-778.33,-6.98,-365.92,-0.37
267,Entry short,30/06/2021 05:00,Short,32.24,345.923,11152.55752,-719.52,-6.45,235.23,2.11,-778.33,-6.98,-365.92,-0.37
268,Exit long,01/07/2021 08:00,Long Exit,33.28,305.181,10772.8893,-616.47,-5.72,213.63,1.98,-686.66,-6.37,-982.39,-0.98
268,Entry long,30/06/2021 23:30,Long,35.3,305.181,10772.8893,-616.47,-5.72,213.63,1.98,-686.66,-6.37,-982.39,-0.98
269,Exit short,02/07/2021 16:30,Short Exit,32.61,347.929,11192.87593,-153.09,-1.37,278.34,2.49,-271.38,-2.42,-1135.48,-1.14
269,Entry short,02/07/2021 05:00,Short,32.17,347.929,11192.87593,-153.09,-1.37,278.34,2.49,-271.38,-2.42,-1135.48,-1.14
270,Exit long,03/07/2021 23:00,Long Exit,34.27,429.521,14552.17148,167.51,1.15,657.17,4.52,-283.48,-1.95,-967.96,-0.97
270,Entry long,03/07/2021 01:30,Long,33.88,429.521,14552.17148,167.51,1.15,657.17,4.52,-283.48,-1.95,-967.96,-0.97
271,Exit long,05/07/2021 00:00,Long Exit,34.25,549.944,19424.02208,-588.44,-3.03,115.49,0.59,-626.94,-3.23,-1556.4,-1.56
271,Entry long,04/07/2021 08:30,Long,35.32,549.944,19424.02208,-588.44,-3.03,115.49,0.59,-626.94,-3.23,-1556.4,-1.56
272,Exit short,06/07/2021 05:30,Short Exit,34,580.086,19508.29218,-214.63,-1.1,730.91,3.75,-498.87,-2.56,-1771.03,-1.77
272,Entry short,05/07/2021 05:00,Short,33.63,580.086,19508.29218,-214.63,-1.1,730.91,3.75,-498.87,-2.56,-1771.03,-1.77
273,Exit long,06/07/2021 18:30,Long Exit,33.49,554.037,19269.40686,-714.71,-3.71,66.48,0.35,-875.38,-4.54,-2485.74,-2.49
273,Entry long,06/07/2021 10:00,Long,34.78,554.037,19269.40686,-714.71,-3.71,66.48,0.35,-875.38,-4.54,-2485.74,-2.49
274,Exit long,08/07/2021 01:30,Long Exit,36.13,554.699,19519.85781,521.42,2.67,1614.17,8.27,-338.37,-1.73,-1964.32,-1.96
274,Entry long,07/07/2021 08:30,Long,35.19,554.699,19519.85781,521.42,2.67,1614.17,8.27,-338.37,-1.73,-1964.32,-1.96
275,Exit short,09/07/2021 15:00,Short Exit,33.91,292.387,9990.86379,76.02,0.76,640.33,6.41,-333.32,-3.34,-1888.3,-1.89
275,Entry short,08/07/2021 09:00,Short,34.17,292.387,9990.86379,76.02,0.76,640.33,6.41,-333.32,-3.34,-1888.3,-1.89
276,Exit short,11/07/2021 11:30,Short Exit,32.12,474.86,15361.721,109.22,0.71,626.82,4.08,-227.93,-1.48,-1779.09,-1.78
276,Entry short,10/07/2021 15:30,Short,32.35,474.86,15361.721,109.22,0.71,626.82,4.08,-227.93,-1.48,-1779.09,-1.78
277,Exit long,12/07/2021 11:00,Long Exit,31.89,778.758,25348.5729,-513.98,-2.03,101.24,0.4,-521.77,-2.06,-2293.07,-2.29
277,Entry long,12/07/2021 05:00,Long,32.55,778.758,25348.5729,-513.98,-2.03,101.24,0.4,-521.77,-2.06,-2293.07,-2.29
278,Exit short,14/07/2021 14:30,Stop Hit,29.84,790.102,24959.32218,1382.68,5.54,3342.13,13.39,-71.11,-0.28,-910.39,-0.91
278,Entry short,12/07/2021 11:30,Short,31.59,790.102,24959.32218,1382.68,5.54,3342.13,13.39,-71.11,-0.28,-910.39,-0.91
279,Exit long,15/07/2021 05:30,Long Exit,30.36,405.684,12527.52192,-210.96,-1.68,251.52,2.01,-348.89,-2.78,-1121.34,-1.12
279,Entry long,14/07/2021 15:30,Long,30.88,405.684,12527.52192,-210.96,-1.68,251.52,2.01,-348.89,-2.78,-1121.34,-1.12
280,Exit short,16/07/2021 03:30,Short Exit,29.33,401.627,11297.76751,-481.95,-4.27,60.24,0.53,-542.2,-4.8,-1603.3,-1.6
280,Entry short,15/07/2021 17:30,Short,28.13,401.627,11297.76751,-481.95,-4.27,60.24,0.53,-542.2,-4.8,-1603.3,-1.6
281,Exit short,17/07/2021 10:00,Short Exit,26.75,511.697,14235.41054,547.52,3.85,931.29,6.54,-286.55,-2.01,-1055.78,-1.06
281,Entry short,16/07/2021 09:30,Short,27.82,511.697,14235.41054,547.52,3.85,931.29,6.54,-286.55,-2.01,-1055.78,-1.06
282,Exit short,17/07/2021 21:00,Short Exit,27.14,489.121,12800.29657,-474.45,-3.71,39.13,0.31,-533.14,-4.17,-1530.23,-1.53
282,Entry short,17/07/2021 12:30,Short,26.17,489.121,12800.29657,-474.45,-3.71,39.13,0.31,-533.14,-4.17,-1530.23,-1.53
283,Exit short,20/07/2021 01:30,Short Exit,24.82,659.19,17349.8808,988.79,5.7,1542.5,8.89,0,0,-541.44,-0.54
283,Entry short,19/07/2021 02:00,Short,26.32,659.19,17349.8808,988.79,5.7,1542.5,8.89,0,0,-541.44,-0.54
284,Exit short,20/07/2021 16:30,Short Exit,23.66,564.519,13503.29448,146.77,1.09,1027.42,7.61,-62.1,-0.46,-394.67,-0.39
284,Entry short,20/07/2021 02:30,Short,23.92,564.519,13503.29448,146.77,1.09,1027.42,7.61,-62.1,-0.46,-394.67,-0.39
285,Exit long,21/07/2021 20:30,Long Exit,25.39,509.005,12750.57525,173.06,1.36,1226.7,9.62,-106.89,-0.84,-221.61,-0.22
285,Entry long,21/07/2021 06:00,Long,25.05,509.005,12750.57525,173.06,1.36,1226.7,9.62,-106.89,-0.84,-221.61,-0.22
286,Exit long,23/07/2021 10:00,Long Exit,27.32,428.217,11814.50703,-115.62,-0.98,479.6,4.06,-543.84,-4.6,-337.22,-0.34
286,Entry long,22/07/2021 09:30,Long,27.59,428.217,11814.50703,-115.62,-0.98,479.6,4.06,-543.84,-4.6,-337.22,-0.34
287,Exit long,24/07/2021 21:30,Long Exit,28.15,550.201,15757.75664,-269.6,-1.71,500.68,3.18,-346.63,-2.2,-606.82,-0.61
287,Entry long,24/07/2021 02:00,Long,28.64,550.201,15757.75664,-269.6,-1.71,500.68,3.18,-346.63,-2.2,-606.82,-0.61
288,Exit short,26/07/2021 01:00,Short Exit,28.25,511.694,14189.27462,-266.08,-1.88,629.38,4.44,-542.4,-3.82,-872.9,-0.87
288,Entry short,25/07/2021 05:30,Short,27.73,511.694,14189.27462,-266.08,-1.88,629.38,4.44,-542.4,-3.82,-872.9,-0.87
289,Exit long,26/07/2021 21:30,Long Exit,28.51,545.578,15979.97962,-425.55,-2.66,998.41,6.25,-627.41,-3.93,-1298.46,-1.3
289,Entry long,26/07/2021 02:00,Long,29.29,545.578,15979.97962,-425.55,-2.66,998.41,6.25,-627.41,-3.93,-1298.46,-1.3
290,Exit short,27/07/2021 11:00,Short Exit,28.6,354.642,9660.44808,-482.31,-4.99,42.56,0.44,-489.41,-5.07,-1780.77,-1.78
290,Entry short,27/07/2021 04:00,Short,27.24,354.642,9660.44808,-482.31,-4.99,42.56,0.44,-489.41,-5.07,-1780.77,-1.78
291,Exit short,28/07/2021 04:00,Short Exit,28.36,421.296,11404.48272,-543.47,-4.77,75.83,0.66,-640.37,-5.62,-2324.24,-2.32
291,Entry short,27/07/2021 18:00,Short,27.07,421.296,11404.48272,-543.47,-4.77,75.83,0.66,-640.37,-5.62,-2324.24,-2.32
292,Exit short,29/07/2021 07:00,Short Exit,28.29,557.487,15303.01815,-468.29,-3.06,27.87,0.18,-485.01,-3.17,-2792.53,-2.79
292,Entry short,29/07/2021 02:30,Short,27.45,557.487,15303.01815,-468.29,-3.06,27.87,0.18,-485.01,-3.17,-2792.53,-2.79
293,Exit long,30/07/2021 10:00,Long Exit,30.84,535.604,15682.48512,835.54,5.33,2035.3,12.98,-48.2,-0.31,-1956.99,-1.96
293,Entry long,29/07/2021 16:00,Long,29.28,535.604,15682.48512,835.54,5.33,2035.3,12.98,-48.2,-0.31,-1956.99,-1.96
294,Exit long,01/08/2021 12:00,Long Exit,35.2,404.594,13537.71524,703.99,5.2,1432.26,10.58,-732.32,-5.41,-1252.99,-1.25
294,Entry long,31/07/2021 04:00,Long,33.46,404.594,13537.71524,703.99,5.2,1432.26,10.58,-732.32,-5.41,-1252.99,-1.25
295,Exit short,03/08/2021 11:30,Short Exit,33.6,328.768,11033.45408,-13.15,-0.12,404.38,3.67,-785.76,-7.12,-1266.14,-1.27
295,Entry short,02/08/2021 00:30,Short,33.56,328.768,11033.45408,-13.15,-0.12,404.38,3.67,-785.76,-7.12,-1266.14,-1.27
296,Exit long,04/08/2021 01:30,Long Exit,33.58,383.67,13631.7951,-748.16,-5.49,80.57,0.59,-775.01,-5.69,-2014.3,-2.01
296,Entry long,03/08/2021 14:00,Long,35.53,383.67,13631.7951,-748.16,-5.49,80.57,0.59,-775.01,-5.69,-2014.3,-2.01
297,Exit long,06/08/2021 04:30,Long Exit,35.89,467.973,16940.6226,-145.07,-0.86,968.7,5.72,-369.7,-2.18,-2159.37,-2.16
297,Entry long,04/08/2021 18:00,Long,36.2,467.973,16940.6226,-145.07,-0.86,968.7,5.72,-369.7,-2.18,-2159.37,-2.16
298,Exit long,07/08/2021 14:00,Long Exit,38.74,437.514,17045.54544,-96.25,-0.56,673.77,3.95,-271.26,-1.59,-2255.63,-2.26
298,Entry long,06/08/2021 16:00,Long,38.96,437.514,17045.54544,-96.25,-0.56,673.77,3.95,-271.26,-1.59,-2255.63,-2.26
299,Exit short,09/08/2021 10:00,Short Exit,38.53,415.167,15506.48745,-489.9,-3.16,415.17,2.68,-535.57,-3.45,-2745.52,-2.75
299,Entry short,08/08/2021 16:00,Short,37.35,415.167,15506.48745,-489.9,-3.16,415.17,2.68,-535.57,-3.45,-2745.52,-2.75
300,Exit long,09/08/2021 22:00,Long Exit,38.38,432.856,16928.99816,-315.98,-1.87,385.24,2.28,-320.31,-1.89,-3061.51,-3.06
300,Entry long,09/08/2021 15:00,Long,39.11,432.856,16928.99816,-315.98,-1.87,385.24,2.28,-320.31,-1.89,-3061.51,-3.06
301,Exit long,10/08/2021 18:00,Long Exit,39.24,374.527,15123.40026,-426.96,-2.82,486.89,3.22,-501.87,-3.32,-3488.47,-3.49
301,Entry long,10/08/2021 04:00,Long,40.38,374.527,15123.40026,-426.96,-2.82,486.89,3.22,-501.87,-3.32,-3488.47,-3.49
302,Exit long,11/08/2021 22:30,Long Exit,42.06,330.867,13687.96779,228.3,1.67,780.85,5.7,-122.42,-0.89,-3260.17,-3.26
302,Entry long,11/08/2021 01:30,Long,41.37,330.867,13687.96779,228.3,1.67,780.85,5.7,-122.42,-0.89,-3260.17,-3.26
303,Exit short,13/08/2021 01:30,Short Exit,40.94,308.275,12577.62,-43.16,-0.34,456.25,3.63,-339.1,-2.7,-3303.33,-3.3
303,Entry short,12/08/2021 06:30,Short,40.8,308.275,12577.62,-43.16,-0.34,456.25,3.63,-339.1,-2.7,-3303.33,-3.3
304,Exit long,14/08/2021 11:00,Long Exit,43.47,303.707,13220.36571,-18.22,-0.14,419.12,3.17,-215.63,-1.63,-3321.55,-3.32
304,Entry long,13/08/2021 08:30,Long,43.53,303.707,13220.36571,-18.22,-0.14,419.12,3.17,-215.63,-1.63,-3321.55,-3.32
305,Exit long,17/08/2021 01:30,Long Exit,63.22,429.069,19329.55845,7796.18,40.33,10331.98,53.45,-725.13,-3.75,4474.63,4.47
305,Entry long,15/08/2021 03:00,Long,45.05,429.069,19329.55845,7796.18,40.33,10331.98,53.45,-725.13,-3.75,4474.63,4.47
306,Exit long,17/08/2021 15:30,Long Exit,67.32,96.799,6782.70593,-266.2,-3.92,492.71,7.26,-321.37,-4.74,4208.44,4.21
306,Entry long,17/08/2021 03:00,Long,70.07,96.799,6782.70593,-266.2,-3.92,492.71,7.26,-321.37,-4.74,4208.44,4.21
307,Exit short,18/08/2021 07:00,Short Exit,69.48,92.017,5557.8268,-835.51,-15.03,145.39,2.62,-837.35,-15.07,3372.92,3.37
307,Entry short,17/08/2021 21:30,Short,60.4,92.017,5557.8268,-835.51,-15.03,145.39,2.62,-837.35,-15.07,3372.92,3.37
308,Exit long,18/08/2021 23:00,Long Exit,71.3,78.828,6053.20212,-432.77,-7.15,292.45,4.83,-541.55,-8.95,2940.16,2.94
308,Entry long,18/08/2021 12:30,Long,76.79,78.828,6053.20212,-432.77,-7.15,292.45,4.83,-541.55,-8.95,2940.16,2.94
309,Exit long,21/08/2021 12:30,Long Exit,75.6,181.392,13843.83744,-130.6,-0.94,1030.31,7.44,-359.16,-2.59,2809.55,2.81
309,Entry long,20/08/2021 18:00,Long,76.32,181.392,13843.83744,-130.6,-0.94,1030.31,7.44,-359.16,-2.59,2809.55,2.81
310,Exit short,22/08/2021 09:30,Short Exit,77.04,165.532,12123.56368,-629.02,-5.19,51.31,0.42,-648.89,-5.35,2180.53,2.18
310,Entry short,21/08/2021 21:00,Short,73.24,165.532,12123.56368,-629.02,-5.19,51.31,0.42,-648.89,-5.35,2180.53,2.18
311,Exit short,23/08/2021 04:30,Short Exit,74.52,184.143,13370.62323,-351.71,-2.63,252.28,1.89,-528.49,-3.95,1828.82,1.83
311,Entry short,22/08/2021 19:30,Short,72.61,184.143,13370.62323,-351.71,-2.63,252.28,1.89,-528.49,-3.95,1828.82,1.83
312,Exit long,24/08/2021 15:00,Long Exit,75.13,218.911,16591.26469,-144.48,-0.87,801.21,4.83,-525.39,-3.17,1684.34,1.68
312,Entry long,23/08/2021 23:30,Long,75.79,218.911,16591.26469,-144.48,-0.87,801.21,4.83,-525.39,-3.17,1684.34,1.68
313,Exit short,25/08/2021 07:30,Short Exit,72.11,133.967,9467.44789,-192.91,-2.04,140.67,1.49,-289.37,-3.06,1491.43,1.49
313,Entry short,24/08/2021 17:30,Short,70.67,133.967,9467.44789,-192.91,-2.04,140.67,1.49,-289.37,-3.06,1491.43,1.49
314,Exit short,25/08/2021 23:30,Short Exit,70.89,156.156,10404.67428,-665.22,-6.39,39.04,0.38,-807.33,-7.76,826.2,0.83
314,Entry short,25/08/2021 10:00,Short,66.63,156.156,10404.67428,-665.22,-6.39,39.04,0.38,-807.33,-7.76,826.2,0.83
315,Exit long,26/08/2021 07:00,Long Exit,68.3,178.318,12965.50178,-786.38,-6.07,237.16,1.83,-847.01,-6.53,39.82,0.04
315,Entry long,26/08/2021 01:30,Long,72.71,178.318,12965.50178,-786.38,-6.07,237.16,1.83,-847.01,-6.53,39.82,0.04
316,Exit long,29/08/2021 05:00,Long Exit,93.95,119.024,9055.34592,2126.96,23.49,2587.58,28.58,-420.15,-4.64,2166.78,2.17
316,Entry long,26/08/2021 15:30,Long,76.08,119.024,9055.34592,2126.96,23.49,2587.58,28.58,-420.15,-4.64,2166.78,2.17
317,Exit short,29/08/2021 21:30,Short Exit,94.34,140.832,12904.43616,-381.65,-2.96,87.32,0.68,-404.19,-3.13,1785.12,1.79
317,Entry short,29/08/2021 16:30,Short,91.63,140.832,12904.43616,-381.65,-2.96,87.32,0.68,-404.19,-3.13,1785.12,1.79
318,Exit long,31/08/2021 17:00,Long Exit,116.52,145.278,14080.34376,2847.45,20.22,4821.78,34.24,-161.26,-1.15,4632.57,4.63
318,Entry long,30/08/2021 02:30,Long,96.92,145.278,14080.34376,2847.45,20.22,4821.78,34.24,-161.26,-1.15,4632.57,4.63
319,Exit short,01/09/2021 12:30,Short Exit,116.28,53.051,5512.52941,-656.24,-11.9,45.09,0.82,-663.14,-12.03,3976.33,3.98
319,Entry short,31/08/2021 23:30,Short,103.91,53.051,5512.52941,-656.24,-11.9,45.09,0.82,-663.14,-12.03,3976.33,3.98
320,Exit long,04/09/2021 12:00,Long Exit,141.38,97.06,11828.7022,1893.64,16.01,2788.53,23.57,-226.15,-1.91,5869.97,5.87
320,Entry long,02/09/2021 17:00,Long,121.87,97.06,11828.7022,1893.64,16.01,2788.53,23.57,-226.15,-1.91,5869.97,5.87
321,Exit short,05/09/2021 02:30,Short Exit,143.73,88.111,12127.59804,-536.6,-4.42,79.3,0.65,-647.62,-5.34,5333.38,5.33
321,Entry short,04/09/2021 18:30,Short,137.64,88.111,12127.59804,-536.6,-4.42,79.3,0.65,-647.62,-5.34,5333.38,5.33
322,Exit short,05/09/2021 23:30,Stop Hit,143.78,119.719,16333.26317,-879.93,-5.39,149.65,0.92,-990.08,-6.06,4453.44,4.45
322,Entry short,05/09/2021 16:30,Short,136.43,119.719,16333.26317,-879.93,-5.39,149.65,0.92,-990.08,-6.06,4453.44,4.45
323,Exit long,06/09/2021 13:30,Long Exit,141.9,116.291,16859.86918,-358.18,-2.12,234.91,1.39,-937.31,-5.56,4095.26,4.1
323,Entry long,06/09/2021 08:00,Long,144.98,116.291,16859.86918,-358.18,-2.12,234.91,1.39,-937.31,-5.56,4095.26,4.1
324,Exit long,07/09/2021 15:30,Stop Hit,169.35,100.672,14778.6496,2270.15,15.36,4900.71,33.16,-6.04,-0.04,6365.42,6.37
324,Entry long,06/09/2021 16:30,Long,146.8,100.672,14778.6496,2270.15,15.36,4900.71,33.16,-6.04,-0.04,6365.42,6.37
325,Exit short,07/09/2021 17:30,Stop Hit,185.63,25.387,4030.18625,-682.4,-16.93,71.59,1.78,-844.12,-20.94,5683.01,5.68
325,Entry short,07/09/2021 16:30,Short,158.75,25.387,4030.18625,-682.4,-16.93,71.59,1.78,-844.12,-20.94,5683.01,5.68
326,Exit long,09/09/2021 13:30,Long Exit,196.11,30.662,5968.66492,44.46,0.74,654.33,10.96,-350.77,-5.88,5727.47,5.73
326,Entry long,08/09/2021 21:00,Long,194.66,30.662,5968.66492,44.46,0.74,654.33,10.96,-350.77,-5.88,5727.47,5.73
327,Exit short,11/09/2021 02:30,Short Exit,188.33,39.894,7206.05322,-307.18,-4.26,511.04,7.09,-345.08,-4.79,5420.29,5.42
327,Entry short,10/09/2021 10:00,Short,180.63,39.894,7206.05322,-307.18,-4.26,511.04,7.09,-345.08,-4.79,5420.29,5.42
328,Exit short,13/09/2021 15:00,Short Exit,163.21,81.425,13992.88625,703.51,5.03,1754.71,12.54,-451.91,-3.23,6123.8,6.12
328,Entry short,12/09/2021 22:00,Short,171.85,81.425,13992.88625,703.51,5.03,1754.71,12.54,-451.91,-3.23,6123.8,6.12
329,Exit short,15/09/2021 02:30,Short Exit,161.24,58.085,8978.19845,-387.43,-4.32,695.28,7.74,-537.87,-5.99,5736.38,5.74
329,Entry short,14/09/2021 20:00,Short,154.57,58.085,8978.19845,-387.43,-4.32,695.28,7.74,-537.87,-5.99,5736.38,5.74
330,Exit short,16/09/2021 08:30,Short Exit,161.3,78.989,12103.48447,-637.44,-5.27,33.97,0.28,-778.83,-6.43,5098.93,5.1
330,Entry short,16/09/2021 04:30,Short,153.23,78.989,12103.48447,-637.44,-5.27,33.97,0.28,-778.83,-6.43,5098.93,5.1
331,Exit short,17/09/2021 23:30,Short Exit,146.95,76.825,11745.77425,456.34,3.89,1451.22,12.36,-129.83,-1.11,5555.28,5.56
331,Entry short,16/09/2021 19:30,Short,152.89,76.825,11745.77425,456.34,3.89,1451.22,12.36,-129.83,-1.11,5555.28,5.56
332,Exit long,19/09/2021 12:00,Long Exit,159.82,76.049,11632.45504,521.7,4.48,1407.67,12.1,-57.8,-0.5,6076.97,6.08
332,Entry long,18/09/2021 07:30,Long,152.96,76.049,11632.45504,521.7,4.48,1407.67,12.1,-57.8,-0.5,6076.97,6.08
333,Exit short,21/09/2021 09:00,Short Exit,143.44,85.696,13376.28864,1084.05,8.1,2645.44,19.78,-514.18,-3.84,7161.03,7.16
333,Entry short,19/09/2021 13:00,Short,156.09,85.696,13376.28864,1084.05,8.1,2645.44,19.78,-514.18,-3.84,7161.03,7.16
334,Exit short,22/09/2021 08:00,Short Exit,131.99,65.869,8063.02429,-631.02,-7.83,422.22,5.24,-656.06,-8.14,6530,6.53
334,Entry short,21/09/2021 21:30,Short,122.41,65.869,8063.02429,-631.02,-7.83,422.22,5.24,-656.06,-8.14,6530,6.53
335,Exit long,23/09/2021 11:30,Long Exit,144.57,75.753,10691.02089,260.59,2.44,861.31,8.06,-69.69,-0.65,6790.59,6.79
335,Entry long,22/09/2021 17:30,Long,141.13,75.753,10691.02089,260.59,2.44,861.31,8.06,-69.69,-0.65,6790.59,6.79
336,Exit short,24/09/2021 22:00,Short Exit,142.64,93.255,13224.49155,-77.4,-0.59,1273.86,9.63,-431.77,-3.26,6713.19,6.71
336,Entry short,24/09/2021 06:30,Short,141.81,93.255,13224.49155,-77.4,-0.59,1273.86,9.63,-431.77,-3.26,6713.19,6.71
337,Exit short,26/09/2021 11:00,Short Exit,134.9,108.424,14559.17472,-67.22,-0.46,1027.86,7.06,-365.39,-2.51,6645.97,6.65
337,Entry short,25/09/2021 22:30,Short,134.28,108.424,14559.17472,-67.22,-0.46,1027.86,7.06,-365.39,-2.51,6645.97,6.65
338,Exit long,27/09/2021 00:30,Long Exit,134.35,87.133,12110.61567,-404.3,-3.34,60.12,0.5,-489.69,-4.04,6241.67,6.24
338,Entry long,26/09/2021 17:30,Long,138.99,87.133,12110.61567,-404.3,-3.34,60.12,0.5,-489.69,-4.04,6241.67,6.24
339,Exit long,27/09/2021 22:00,Long Exit,138.76,90.496,12903.82464,-346.6,-2.69,572.84,4.44,-457.91,-3.55,5895.07,5.9
339,Entry long,27/09/2021 03:00,Long,142.59,90.496,12903.82464,-346.6,-2.69,572.84,4.44,-457.91,-3.55,5895.07,5.9
340,Exit short,29/09/2021 01:30,Short Exit,136.78,99.083,13512.93954,-39.63,-0.29,813.47,6.02,-79.27,-0.59,5855.44,5.86
340,Entry short,28/09/2021 08:00,Short,136.38,99.083,13512.93954,-39.63,-0.29,813.47,6.02,-79.27,-0.59,5855.44,5.86
341,Exit long,29/09/2021 17:00,Long Exit,135.62,99.126,13758.6888,-315.22,-2.29,135.8,0.99,-392.54,-2.85,5540.22,5.54
341,Entry long,29/09/2021 05:00,Long,138.8,99.126,13758.6888,-315.22,-2.29,135.8,0.99,-392.54,-2.85,5540.22,5.54
342,Exit long,03/10/2021 22:30,Long Exit,169.89,124.399,17280.26509,3853.88,22.3,4836.63,27.99,-608.31,-3.52,9394.1,9.39
342,Entry long,30/09/2021 05:30,Long,138.91,124.399,17280.26509,3853.88,22.3,4836.63,27.99,-608.31,-3.52,9394.1,9.39
343,Exit short,04/10/2021 14:30,Short Exit,171.19,80.018,13406.21572,-292.07,-2.18,218.45,1.63,-404.89,-3.02,9102.03,9.1
343,Entry short,04/10/2021 05:30,Short,167.54,80.018,13406.21572,-292.07,-2.18,218.45,1.63,-404.89,-3.02,9102.03,9.1
344,Exit short,06/10/2021 14:30,Stop Hit,161.08,79.07,13080.5501,343.95,2.63,1212.14,9.27,-551.12,-4.21,9445.99,9.45
344,Entry short,04/10/2021 16:30,Short,165.43,79.07,13080.5501,343.95,2.63,1212.14,9.27,-551.12,-4.21,9445.99,9.45
345,Exit long,09/10/2021 00:30,Long Exit,158.04,106.379,17119.57247,-307.44,-1.8,855.29,5,-396.79,-2.32,9138.55,9.14
345,Entry long,08/10/2021 10:00,Long,160.93,106.379,17119.57247,-307.44,-1.8,855.29,5,-396.79,-2.32,9138.55,9.14
346,Exit short,10/10/2021 10:30,Short Exit,156.41,141.888,22067.84064,-124.86,-0.57,446.95,2.03,-421.41,-1.91,9013.69,9.01
346,Entry short,09/10/2021 21:30,Short,155.53,141.888,22067.84064,-124.86,-0.57,446.95,2.03,-421.41,-1.91,9013.69,9.01
347,Exit short,12/10/2021 18:00,Stop Hit,149.39,166.396,25441.9484,584.05,2.3,2544.19,10,-297.85,-1.17,9597.74,9.6
347,Entry short,10/10/2021 18:30,Short,152.9,166.396,25441.9484,584.05,2.3,2544.19,10,-297.85,-1.17,9597.74,9.6
348,Exit long,13/10/2021 07:00,Long Exit,146.18,86.155,13018.88205,-424.74,-3.26,383.39,2.94,-436.81,-3.36,9173,9.17
348,Entry long,12/10/2021 20:00,Long,151.11,86.155,13018.88205,-424.74,-3.26,383.39,2.94,-436.81,-3.36,9173,9.17
349,Exit long,14/10/2021 19:30,Long Exit,149.43,143.071,21585.12177,-206.02,-0.95,683.88,3.17,-237.5,-1.1,8966.97,8.97
349,Entry long,14/10/2021 07:30,Long,150.87,143.071,21585.12177,-206.02,-0.95,683.88,3.17,-237.5,-1.1,8966.97,8.97
350,Exit long,16/10/2021 06:00,Long Exit,158.23,129.855,20087.26995,459.69,2.29,1436.2,7.15,-276.59,-1.38,9426.66,9.43
350,Entry long,15/10/2021 06:00,Long,154.69,129.855,20087.26995,459.69,2.29,1436.2,7.15,-276.59,-1.38,9426.66,9.43
351,Exit short,17/10/2021 05:00,Short Exit,162.96,158.46,24881.3892,-941.25,-3.78,74.48,0.3,-950.76,-3.82,8485.41,8.49
351,Entry short,16/10/2021 23:00,Short,157.02,158.46,24881.3892,-941.25,-3.78,74.48,0.3,-950.76,-3.82,8485.41,8.49
352,Exit long,17/10/2021 17:00,Long Exit,160.75,134.229,22033.69035,-456.38,-2.07,469.8,2.13,-555.71,-2.52,8029.03,8.03
352,Entry long,17/10/2021 08:30,Long,164.15,134.229,22033.69035,-456.38,-2.07,469.8,2.13,-555.71,-2.52,8029.03,8.03
353,Exit short,19/10/2021 04:30,Short Exit,157.91,124.645,19311.24985,-371.44,-1.92,37.39,0.19,-1003.39,-5.2,7657.59,7.66
353,Entry short,17/10/2021 21:30,Short,154.93,124.645,19311.24985,-371.44,-1.92,37.39,0.19,-1003.39,-5.2,7657.59,7.66
354,Exit short,20/10/2021 10:30,Short Exit,157.22,175.633,27414.55497,-198.47,-0.72,532.17,1.94,-368.83,-1.35,7459.12,7.46
354,Entry short,19/10/2021 16:00,Short,156.09,175.633,27414.55497,-198.47,-0.72,532.17,1.94,-368.83,-1.35,7459.12,7.46
355,Exit long,21/10/2021 16:30,Long Exit,179.04,209.071,33135.66279,4296.41,12.97,7468.02,22.54,-167.26,-0.5,11755.53,11.76
355,Entry long,20/10/2021 11:30,Long,158.49,209.071,33135.66279,4296.41,12.97,7468.02,22.54,-167.26,-0.5,11755.53,11.76
356,Exit long,22/10/2021 19:30,Long Exit,202,55.781,10897.37616,370.39,3.4,1101.12,10.1,-20.08,-0.18,12125.92,12.13
356,Entry long,22/10/2021 01:30,Long,195.36,55.781,10897.37616,370.39,3.4,1101.12,10.1,-20.08,-0.18,12125.92,12.13
357,Exit short,24/10/2021 22:30,Stop Hit,198.56,111.348,21510.20664,-599.05,-2.78,886.33,4.12,-607.96,-2.83,11526.86,11.53
