Trade #,Type,Date/Time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %,Cumulative P&L USD,Cumulative P&L %
167,Exit long,02/03/2021 02:30,Long Exit,14.6,573.171,8098.90623,269.39,3.33,813.9,10.05,-246.46,-3.04,-1672.66,-1.67
167,Entry long,01/03/2021 01:00,Long,14.13,573.171,8098.90623,269.39,3.33,813.9,10.05,-246.46,-3.04,-1672.66,-1.67
168,Exit short,03/03/2021 06:00,Short Exit,13.96,886.862,12593.4404,212.85,1.69,753.83,5.99,-97.55,-0.77,-1459.81,-1.46
168,Entry short,02/03/2021 17:00,Short,14.2,886.862,12593.4404,212.85,1.69,753.83,5.99,-97.55,-0.77,-1459.81,-1.46
169,Exit short,05/03/2021 13:30,Short Exit,12.73,1012.413,13971.2994,1083.28,7.75,1690.73,12.1,-91.12,-0.65,-376.53,-0.38
169,Entry short,04/03/2021 04:30,Short,13.8,1012.413,13971.2994,1083.28,7.75,1690.73,12.1,-91.12,-0.65,-376.53,-0.38
170,Exit short,06/03/2021 14:00,Stop Hit,12.23,1494.628,18159.7302,-119.57,-0.66,373.66,2.06,-1270.43,-7,-496.1,-0.5
170,Entry short,06/03/2021 11:00,Short,12.15,1494.628,18159.7302,-119.57,-0.66,373.66,2.06,-1270.43,-7,-496.1,-0.5
171,Exit long,08/03/2021 03:00,Long Exit,13.53,1157.15,15077.6645,578.58,3.84,1134.01,7.52,-381.86,-2.53,82.47,0.08
171,Entry long,06/03/2021 20:30,Long,13.03,1157.15,15077.6645,578.58,3.84,1134.01,7.52,-381.86,-2.53,82.47,0.08
172,Exit short,08/03/2021 15:30,Short Exit,13.59,1431.125,18962.40625,-486.58,-2.57,14.31,0.08,-543.83,-2.87,-404.11,-0.4
172,Entry short,08/03/2021 14:00,Short,13.25,1431.125,18962.40625,-486.58,-2.57,14.31,0.08,-543.83,-2.87,-404.11,-0.4
173,Exit long,10/03/2021 02:00,Long Exit,14.53,1308.149,18209.43408,797.97,4.38,1687.51,9.27,-156.98,-0.86,393.86,0.39
173,Entry long,09/03/2021 04:00,Long,13.92,1308.149,18209.43408,797.97,4.38,1687.51,9.27,-156.98,-0.86,393.86,0.39
174,Exit short,11/03/2021 13:30,Short Exit,14.26,1308.637,18700.42273,39.26,0.21,811.35,4.34,-209.38,-1.12,433.12,0.43
174,Entry short,10/03/2021 21:30,Short,14.29,1308.637,18700.42273,39.26,0.21,811.35,4.34,-209.38,-1.12,433.12,0.43
175,Exit long,12/03/2021 10:30,Long Exit,15.4,947.043,14442.40575,142.06,0.98,1183.8,8.2,-28.41,-0.2,575.18,0.58
175,Entry long,11/03/2021 17:30,Long,15.25,947.043,14442.40575,142.06,0.98,1183.8,8.2,-28.41,-0.2,575.18,0.58
176,Exit short,13/03/2021 10:00,Short Exit,14.66,732.853,10443.15525,-300.47,-2.88,300.47,2.88,-315.13,-3.02,274.71,0.27
176,Entry short,12/03/2021 20:30,Short,14.25,732.853,10443.15525,-300.47,-2.88,300.47,2.88,-315.13,-3.02,274.71,0.27
177,Exit long,14/03/2021 04:30,Long Exit,14.83,1133.717,17311.85859,-498.84,-2.88,158.72,0.92,-714.24,-4.13,-224.13,-0.22
177,Entry long,13/03/2021 23:00,Long,15.27,1133.717,17311.85859,-498.84,-2.88,158.72,0.92,-714.24,-4.13,-224.13,-0.22
178,Exit short,15/03/2021 20:30,Short Exit,14.36,1192.41,17099.1594,-23.85,-0.14,858.54,5.02,-47.7,-0.28,-247.98,-0.25
178,Entry short,15/03/2021 05:30,Short,14.34,1192.41,17099.1594,-23.85,-0.14,858.54,5.02,-47.7,-0.28,-247.98,-0.25
179,Exit short,16/03/2021 16:30,Short Exit,13.96,1167.489,15854.50062,-443.65,-2.8,513.7,3.24,-467,-2.95,-691.62,-0.69
179,Entry short,16/03/2021 01:30,Short,13.58,1167.489,15854.50062,-443.65,-2.8,513.7,3.24,-467,-2.95,-691.62,-0.69
180,Exit short,17/03/2021 16:30,Stop Hit,13.9,1462.032,19240.34112,-1081.9,-5.62,58.48,0.3,-1169.63,-6.08,-1773.53,-1.77
